id,title,year,imdb_id,tmdb_id,tmdb_type,type,popularity_percentile
3207934,The Gentlemen,2024,tt13210838,236235,tv,tv_series,99.991
3316982,The Grand Tour,2026,tt44974627,329471,tv,tv_series,99.226
3213685,Ride or Die,2026,tt30494226,241882,tv,tv_series,98.55
3193975,The Mighty Nein,2025,tt26453092,219080,tv,tv_series,96.535
3208128,On Call,2025,tt14582876,236429,tv,tv_series,96.897
3200693,The Bondsman,2025,tt28256288,229711,tv,tv_series,96.078
3227542,Young Sherlock,2026,tt8599532,255661,tv,tv_series,98.955
3225967,Steal,2026,tt32499731,254071,tv,tv_series,97.821
3238534,The Beauty,2026,tt33517752,273160,tv,tv_series,98.09
3215871,Motorheads,2025,tt13723084,243954,tv,tv_series,94.823
3171309,Lanterns,2026,tt26545992,95350,tv,tv_series,99.987
1684276,Avatar Aang: The Last Airbender,2026,tt18259538,980431,movie,movie,99.996
1611652,Project Hail Mary,2026,tt12042730,687163,movie,movie,99.997
3229346,Bait,2026,tt32252887,257519,tv,tv_series,96.079
1855581,Obsession,2025,tt37287335,1339713,movie,movie,99.999
3235880,Widow's Bay,2026,tt33332385,270476,tv,tv_series,99.155
3229330,A Knight of the Seven Kingdoms,2026,tt27497448,224372,tv,tv_series,99.4
3226469,Spider-Noir,2026,tt30460310,220102,tv,tv_series,99.47
3186375,Daredevil: Born Again,2025,tt18923754,202555,tv,tv_series,99.558
1908308,Backrooms,2026,tt26657236,1083381,movie,movie,99.997
1700166,Frankenstein,2025,tt1312221,1062722,movie,movie,99.955
3186281,Castlevania: Nocturne,2023,tt14833612,123548,tv,tv_series,96.536
3184877,IT: Welcome to Derry,2025,tt19244304,200875,tv,tv_series,99.12
1943261,Penny Lane Is Dead,2025,tt35670732,1428766,movie,movie,98.923
1564613,The Last of Us,2023,tt3581920,100088,tv,tv_series,99.698
538646,Shōgun,2024,tt2788316,126308,tv,tv_series,99.527
3182322,Alien: Earth,2025,tt13623632,157239,tv,tv_series,98.09
3171564,Fallout,2024,tt12637874,106379,tv,tv_series,99.436
1688507,Nimona,2023,tt19500164,961323,movie,movie,99.276
1543522,Spider-Man: Across the Spider-Verse,2023,tt9362722,569094,movie,movie,99.993
143379,Barbie,2023,tt1517268,346698,movie,movie,99.955
138019,Avatar: Fire and Ash,2025,tt1757678,83533,movie,movie,99.995
3190574,Lockwood & Co.,2023,tt13802576,213241,tv,tv_series,92.631
3185566,Adventure Time: Fionna and Cake,2023,tt15248880,131378,tv,tv_series,99.101
3181750,The Night Agent,2023,tt13918776,129552,tv,tv_series,99.768
3180212,Your Friendly Neighborhood Spider-Man,2025,tt16027074,138503,tv,tv_series,98.778
3171191,ONE PIECE,2023,tt11737520,111110,tv,tv_series,99.034
3168697,The Midnight Gospel,2020,tt11639414,96713,tv,tv_series,93.847
1884698,Predator: Badlands,2025,tt31227572,1242898,movie,movie,99.975
1579870,John Wick: Chapter 4,2023,tt10366206,603692,movie,movie,99.971
1248513,Masters of the Universe,2026,tt0427340,454639,movie,movie,99.994
1154250,Guardians of the Galaxy Vol. 3,2023,tt6791350,447365,movie,movie,99.984
543801,Ahsoka,2023,tt13622776,114461,tv,tv_series,98.701
3242398,Wayne,2019,tt7765404,84231,tv,tv_series,95.531
3241648,The Boroughs,2026,tt27557289,224941,tv,tv_series,98.299
3187182,Solo Leveling,2024,tt21209876,127532,tv,tv_series,99.607
3187145,Gen V,2023,tt13159924,205715,tv,tv_series,99.172
1861369,Supergirl,2026,tt8814476,1081003,movie,movie,99.996
1842343,Apex,2026,tt16431404,1318447,movie,movie,99.971
1833821,The Rip,2026,tt32642706,1306368,movie,movie,99.955
1785478,Zootopia 2,2025,tt26443597,1084242,movie,movie,99.995
1759209,Send Help,2026,tt8036976,1198994,movie,movie,99.961
1592256,Ant-Man and the Wasp: Quantumania,2023,tt10954600,640146,movie,movie,99.935
1587852,The Long Walk,2025,tt10374610,604079,movie,movie,99.935
1566627,Mission: Impossible - Dead Reckoning Part One,2023,tt9603212,575264,movie,movie,99.952
1546856,The Super Mario Bros. Movie,2023,tt6718170,502356,movie,movie,99.975
1112635,Dungeons & Dragons: Honor Among Thieves,2023,tt2906216,493529,movie,movie,99.914
3195245,Frieren: Beyond Journey's End,2023,tt22248376,209867,tv,tv_series,99.858
3184495,Dead Boy Detectives,2024,tt15358446,132750,tv,tv_series,92.631
3170258,Avatar: The Last Airbender,2024,tt9018736,82452,tv,tv_series,99.785
1823785,Toy Story 5,2026,tt29355505,1084244,movie,movie,99.999
1781431,Star Wars: The Mandalorian and Grogu,2026,tt30825738,1228710,movie,movie,99.997
1697113,Godzilla Minus One,2023,tt23289160,940721,movie,movie,99.929
1451299,The Flash,2023,tt0439572,298618,movie,movie,99.959
1450589,Indiana Jones and the Dial of Destiny,2023,tt1462764,335977,movie,movie,99.929
3213345,Murderbot,2025,tt30444310,241554,tv,tv_series,98.55
3195914,Blue Eye Samurai,2023,tt13309742,225180,tv,tv_series,97.818
1810796,28 Years Later: The Bone Temple,2026,tt32141377,1272837,movie,movie,99.955
1805677,War Machine,2026,tt15940132,1265609,movie,movie,99.984
