id,name,host_source_id,host_source,type,logo_100px,ios_appstore_url,android_playstore_url,android_scheme,ios_scheme,regions
203,Netflix,,,sub,https://cdn.watchmode.com/provider_logos/netflix_100px.png,http://itunes.apple.com/app/netflix/id363590051,https://play.google.com/store/apps/details?id=com.netflix.mediaclient&hl=en,nflx,nflx,"['CH', 'US', 'CA', 'GB', 'AU', 'BR', 'ES', 'AT', 'CL', 'DE', 'FR', 'IS', 'AR', 'BE', 'BG', 'CO', 'CZ', 'DK', 'EC', 'EE', 'FI', 'GR', 'HK', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IT', 'JP', 'KR', 'LT', 'MX', 'MY', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'RO', 'RS', 'SE', 'SG', 'TH', 'TR', 'UA', 'ZA', 'AE', 'VN', 'NL', 'RU']"
157,Hulu,,,sub,https://cdn.watchmode.com/provider_logos/hulu_100px.png,http://itunes.apple.com/app/hulu-plus/id376510438,https://play.google.com/store/apps/details?id=com.hulu.plus,hulu,hulu,"['JP', 'US']"
387,HBO Max,,,sub,https://cdn.watchmode.com/provider_logos/max_100px.png,,,android-app,wbdstreaming,"['AR', 'AT', 'AU', 'BE', 'BG', 'BR', 'CH', 'CL', 'CO', 'CZ', 'DE', 'DK', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'HK', 'HR', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'LT', 'MX', 'MY', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'RO', 'RS', 'SE', 'SG', 'TH', 'TR', 'US']"
26,Prime Video,,,sub,https://cdn.watchmode.com/provider_logos/prime_video_100px.png,http://itunes.apple.com/app/amazon-instant-video/id545519333,http://amazon.com/GetAndroidVideo,intent,aiv,"['US', 'ES', 'DK', 'FI', 'SE', 'PE', 'CL', 'PA', 'NO', 'AT', 'GB', 'CA', 'AU', 'IT', 'AR', 'BE', 'FR', 'DE', 'IE', 'NL', 'NZ', 'ZA', 'CH', 'IS', 'BR', 'MX', 'CO', 'EC', 'PT', 'JP', 'RO', 'IN', 'PH', 'VN', 'HU', 'LT', 'AE', 'CZ', 'HK', 'HR', 'ID', 'MY', 'RS', 'TH', 'TR', 'BG', 'IL', 'UA', 'GR', 'KR', 'SG', 'PL', 'EE', 'RU']"
372,Disney+,,,sub,https://cdn.watchmode.com/provider_logos/disneyPlus_100px.png,https://apps.apple.com/app/disney/id1446075923,,disneyplus,disneyplus,"['US', 'GB', 'AR', 'BE', 'CH', 'CL', 'CO', 'DE', 'DK', 'EC', 'ES', 'FI', 'FR', 'IS', 'JP', 'MX', 'NL', 'NO', 'NZ', 'PE', 'PT', 'SE', 'CA', 'AU', 'BR', 'AT', 'IT', 'LT', 'BG', 'CZ', 'EE', 'GR', 'HR', 'HK', 'HU', 'KR', 'PA', 'PL', 'RO', 'RS', 'SG', 'TR', 'IE', 'PH']"
371,AppleTV+,,,sub,https://cdn.watchmode.com/provider_logos/appleTvPlus_100px.png,,,,,"['US', 'CA', 'GB', 'AU', 'BR', 'CH', 'CO', 'DK', 'EC', 'ES', 'HU', 'ID', 'IN', 'LT', 'MY', 'NL', 'NO', 'NZ', 'PE', 'PH', 'PL', 'RU', 'SE', 'UA', 'AR', 'BE', 'BG', 'CL', 'CZ', 'DE', 'EE', 'FI', 'FR', 'GR', 'HK', 'IE', 'IL', 'JP', 'KR', 'MX', 'PA', 'PT', 'SG', 'TH', 'VN', 'ZA', 'AE', 'AT', 'IT']"
409,BBC iPlayer,,,free,https://cdn.watchmode.com/provider_logos/409_generic_v4.png,,,,bbciplayer,['GB']
392,Hayu,,,sub,https://cdn.watchmode.com/provider_logos/392_generic_v4.png,,,,hayuapp,"['GB', 'CA', 'AU', 'ES', 'BE', 'NL', 'IT', 'FR', 'DE', 'AT', 'DK', 'FI', 'IE', 'NO', 'PL', 'SG', 'SE', 'CH']"
444,Paramount+,,,sub,https://cdn.watchmode.com/provider_logos/paramountPlus_100px.png,,,pplus,pplus,"['US', 'CA', 'BR', 'AR', 'CO', 'MX', 'FR', 'AU', 'GB', 'CH', 'DE', 'AT', 'IT', 'IE', 'CL', 'EC', 'PA', 'PE']"
455,Paramount+ with Showtime,,,sub,https://cdn.watchmode.com/provider_logos/paramountPlusShowtime_100px.png,,,pplus,pplus,['US']
393,Crave,,,sub,https://cdn.watchmode.com/provider_logos/393_generic_v4.png,,,,onemainstream.HTNJ5TAR,['CA']
388,Peacock,,,free,https://cdn.watchmode.com/provider_logos/peacock_100px.png,,,peacock,peacock,['US']
389,Peacock Premium,,,sub,https://cdn.watchmode.com/provider_logos/peacockPremium_100px.png,,,peacock,peacock,['US']
365,Amazon Freevee,,,free,https://cdn.watchmode.com/provider_logos/freevee_100px.png,,,intent,aiv,"['GB', 'US', 'DE', 'AT']"
440,Netflix Free,,,free,https://cdn.watchmode.com/provider_logos/netflixFree_100px.png,http://itunes.apple.com/app/netflix/id363590051,https://play.google.com/store/apps/details?id=com.netflix.mediaclient&hl=en,nflx,nflx,['US']
395,Crave Starz,,,sub,https://cdn.watchmode.com/provider_logos/395_generic_v4.png,,,,onemainstream.HTNJ5TAR,['CA']
425,Stan,,,sub,https://cdn.watchmode.com/provider_logos/425_generic_v4.png,,,,stan,['AU']
232,STARZ,,,sub,https://cdn.watchmode.com/provider_logos/starz_100px.png,http://itunes.apple.com/app/starz-play/id550221096,https://play.google.com/store/apps/details?id=com.bydeluxe.d3.android.program.starz,starz,starz,['US']
402,CBC Gem,,,free,https://cdn.watchmode.com/provider_logos/402_generic_v4.png,,,,cbctv,['CA']
424,Foxtel Now,,,sub,https://cdn.watchmode.com/provider_logos/424_generic_v4.png,,,,,['AU']
408,Sky Go,,,sub,https://cdn.watchmode.com/provider_logos/408_generic_v4.png,,,skygo,skygo,"['GB', 'IE', 'IT', 'DE', 'AT']"
454,HBO MAX Free,,,free,https://cdn.watchmode.com/provider_logos/max_100px.png,,,hbomax,hbomax,['BR']
108,MGM+,,,sub,https://cdn.watchmode.com/provider_logos/mgmplus_100px.png,https://apps.apple.com/us/app/mgm/id1387514950,https://play.google.com/store/apps/details?id=com.epix.epix.now&hl=en_US&gl=US,epixnow,epixnow,['US']
406,Now TV,,,sub,https://cdn.watchmode.com/provider_logos/406_generic_v4.png,,,nowtv,nowtv,"['GB', 'IT', 'IE']"
407,All 4,,,free,https://cdn.watchmode.com/provider_logos/407_generic_v4.png,,,intent,all4,"['GB', 'IE']"
423,BINGE,,,sub,https://cdn.watchmode.com/provider_logos/423_generic_v4.png,,,,,['AU']
419,Britbox UK,,,sub,https://cdn.watchmode.com/provider_logos/419_generic_v4.png,,,,,['GB']
296,Tubi TV,,,free,https://cdn.watchmode.com/provider_logos/tubi_100px.png,http://itunes.apple.com/app/tubi-tv-watch-free-movies/id886445756,https://play.google.com/store/apps/details?id=com.tubitv,tubitv,tubitv,"['US', 'CA', 'AU', 'GB', 'MX', 'IN']"
10,ABC,,,tve,https://cdn.watchmode.com/provider_logos/abc_100px.png,http://itunes.apple.com/app/abc-player/id364191819,https://play.google.com/store/apps/details?id=com.disney.datg.videoplatforms.android.abc,abcplayer,abcplayer,['US']
13,AMC,,,tve,https://cdn.watchmode.com/provider_logos/amc_100px.png,http://itunes.apple.com/app/amc-latest-full-episodes-extras/id1025120568,https://play.google.com/store/apps/details?id=com.amctve.amcfullepisodes,amcmobileapp,amcmobileapp,['US']
467,Arrow Video Channel,,,sub,https://cdn.watchmode.com/provider_logos/467_generic_v4.png,,,,,"['US', 'CA', 'GB']"
462,Fawesome,,,free,https://cdn.watchmode.com/provider_logos/462_generic_v4.png,,,,,['US']
122,FX,,,tve,https://cdn.watchmode.com/provider_logos/fx_100px.png,http://itunes.apple.com/app/fxnow/id767268733,https://play.google.com/store/apps/details?id=com.fxnetworks.fxnow,x-fxnow,x-fxnow,['US']
367,Kanopy,,,sub,https://cdn.watchmode.com/provider_logos/kanopy_100px.png,http://itunes.apple.com/app/kanopy/id1205614510,https://play.google.com/store/apps/details?id=com.kanopy,,,['US']
192,NBC,,,tve,https://cdn.watchmode.com/provider_logos/nbc_100px.png,http://itunes.apple.com/app/nbc/id442839435,https://play.google.com/store/apps/details?id=com.nbcuni.nbc,nbctve,nbctve,['US']
464,SkyShowtime,,,sub,https://cdn.watchmode.com/provider_logos/skyshowtime_100px.png,,,,,"['NL', 'PL', 'ES', 'DK', 'FI', 'NO', 'PT', 'SE']"
299,USA,,,tve,https://cdn.watchmode.com/provider_logos/usa_100px.png,http://itunes.apple.com/app/usa-now/id661695783,https://play.google.com/store/apps/details?id=com.usanetwork.watcher,usatve,usatve,['US']
465,Videoland,,,sub,https://cdn.watchmode.com/provider_logos/465_generic_v4.png,,,,,['NL']
369,Youtube Premium,,,free,https://cdn.watchmode.com/provider_logos/youtubePremium_100px.png,http://itunes.apple.com/app/youtube/id544007664,https://play.google.com/store/apps/details?id=com.google.android.youtube,,youtube,"['US', 'CA', 'GB', 'AU', 'ES', 'BE', 'DE', 'NZ', 'IT', 'FR', 'MX', 'AT', 'DK', 'FI', 'IE', 'NO', 'PT', 'SE', 'CH']"
368,Youtube Premium,,,sub,https://cdn.watchmode.com/provider_logos/youtubePremium_100px.png,http://itunes.apple.com/app/youtube/id544007664,https://play.google.com/store/apps/details?id=com.google.android.youtube,,youtube,['US']
80,Crunchyroll Premium,,,sub,https://cdn.watchmode.com/provider_logos/crunchyroll_100px.png,http://itunes.apple.com/app/crunchyroll-watch-anime-drama/id329913454,https://play.google.com/store/apps/details?id=com.crunchyroll.crunchyroid,crunchyroll,crunchyroll,"['US', 'CA', 'IN', 'BE', 'FR', 'CH', 'AU', 'BR', 'ES', 'AT', 'IT', 'AR', 'DE', 'NL', 'NZ', 'PT', 'SE', 'SG', 'GB', 'CO', 'DK', 'FI', 'IS', 'IE', 'MX', 'NO', 'PL', 'ZA', 'KR']"
456,Movistar+,,,sub,https://cdn.watchmode.com/provider_logos/moviestarPlus_100px.png,,,,,['ES']
439,Plex,,,free,https://cdn.watchmode.com/provider_logos/439_generic_v4.png,,,,,"['US', 'CA']"
451,Topic,,,sub,https://cdn.watchmode.com/provider_logos/451_generic_v4.png,,,,,"['US', 'CA']"
366,The Criterion Channel,,,sub,https://cdn.watchmode.com/provider_logos/criterion_100px.png,http://apps.apple.com/app/the-criterion-channel/id1454275199,https://play.google.com/store/apps/details?id=com.criterionchannel,vhxcriterionchannel,vhxcriterionchannel,"['US', 'CA']"
457,FILMIN,,,sub,https://cdn.watchmode.com/provider_logos/filmin_100px.png,,,,,"['ES', 'PT']"
125,Fandor,,,sub,https://cdn.watchmode.com/provider_logos/fandor_100px.png,http://itunes.apple.com/app/fandor-movies-watch-only-great/id474930762,https://play.google.com/store/apps/details?id=com.fandor.android,,,"['CA', 'US']"
252,Shudder,,,sub,https://cdn.watchmode.com/provider_logos/shudder_100px.png,http://itunes.apple.com/app/shudder-screams-on-demand/id919790315,https://play.google.com/store/apps/details?id=com.dramafever.shudder,,onemainstream.A7TIV9SL,"['CA', 'AU', 'NZ', 'US', 'GB', 'IE']"
318,WWE Network,,,sub,https://cdn.watchmode.com/provider_logos/wwe_100px.png,http://itunes.apple.com/app/wwe/id551798799,https://play.google.com/store/apps/details?id=com.wwe.universe,wwe,wwe,"['US', 'GB']"
349,AppleTV,,,purchase,https://cdn.watchmode.com/provider_logos/apple_100px.png,,,,itms,"['US', 'CA', 'GB', 'JP', 'DE', 'AT', 'CH', 'AU', 'BE', 'FR', 'DK', 'FI', 'IE', 'NO', 'SE', 'IT', 'BR', 'ES', 'NL', 'AR', 'CO', 'MX', 'PL', 'NZ', 'PT', 'SG', 'ZA', 'IN']"
215,PBS,,,free,https://cdn.watchmode.com/provider_logos/pbs_100px.png,http://itunes.apple.com/app/pbs-video/id398349296,,,,['US']
140,Google Play,,,purchase,https://cdn.watchmode.com/provider_logos/googlePlay_100px.png,,https://play.google.com/store,3UEP7s9KQQTEtkn53jO2dQ,,"['AU', 'BR', 'CA', 'GB', 'US']"
24,Amazon,,,purchase,https://cdn.watchmode.com/provider_logos/amazon_100px.png,http://itunes.apple.com/app/amazon-instant-video/id545519333,http://amazon.com/GetAndroidVideo,intent,aiv,"['AR', 'AT', 'AU', 'BE', 'BR', 'CA', 'CH', 'CO', 'DE', 'DK', 'ES', 'FI', 'FR', 'GB', 'IE', 'IN', 'IS', 'IT', 'JP', 'MX', 'NL', 'NO', 'NZ', 'PL', 'PT', 'SE', 'SG', 'US', 'ZA']"
307,Fandango at Home,,,purchase,https://cdn.watchmode.com/provider_logos/fandangoAtHome_100px.png,http://itunes.apple.com/app/vudu-player-movies-tv/id487285735,https://play.google.com/store/apps/details?id=air.com.vudu.air.DownloaderTablet,vuduapp,vuduapp,['US']
344,YouTube,,,purchase,https://cdn.watchmode.com/provider_logos/youtube_100px.png,http://itunes.apple.com/app/youtube/id544007664,https://play.google.com/store/apps/details?id=com.google.android.youtube,,youtube,"['AU', 'CA', 'DE', 'FR', 'GB', 'IN', 'PL', 'PT', 'US']"
452,The Roku Channel,,,free,https://cdn.watchmode.com/provider_logos/452_generic_v4.png,,,,,['US']
270,Syfy,,,tve,https://cdn.watchmode.com/provider_logos/syfy_100px.png,http://itunes.apple.com/app/syfy-now/id378092432,https://play.google.com/store/apps/details?id=com.nbcu.tve.syfy,android-app,syfytve,['US']
271,Syfy,,,free,https://cdn.watchmode.com/provider_logos/syfy_100px.png,http://itunes.apple.com/app/syfy-now/id378092432,https://play.google.com/store/apps/details?id=com.nbcu.tve.syfy,syfytve,syfytve,['US']
18,Acorn TV (Via Amazon Prime),24.0,Amazon,sub,https://cdn.watchmode.com/provider_logos/acorn_tv_prime_100px.png,http://itunes.apple.com/app/amazon-instant-video/id5455193,http://amazon.com/GetAndroidVideo,intent,aiv,"['US', 'CA', 'NL', 'MX', 'ES', 'AU', 'GB']"
647,Acorn TV Apple TV Channel,522.0,Apple TV,sub,https://cdn.watchmode.com/provider_logos/647_generic_v4.png,,,,,"['AU', 'CA', 'ES', 'GB', 'US']"
614,ADN Amazon Channel,24.0,Amazon,sub,https://cdn.watchmode.com/provider_logos/614_generic_v4.png,,,,,"['DE', 'FR']"
625,AMC Plus Apple TV Channel,522.0,Apple TV,sub,https://cdn.watchmode.com/provider_logos/625_generic_v4.png,,,,,"['AU', 'CA', 'ES', 'US']"
